line_and_segment,year,longitude,latitude,height_m,total_field_anomaly_nt
FL1-1,1955,-1.74162,53.48164,792,62
FL1-1,1955,-1.70122,53.48352,663,56
FL2-1,1955,-2.44325,53.47202,325,-38
FL2-1,1955,-2.43445,53.47214,325,-36
FL2-1,1955,-2.39761,53.47236,325,-26
FL2-1,1955,-2.35709,53.47253,325,-16
FL2-1,1955,-2.35536,53.47272,325,-6
FL2-1,1955,-2.35378,53.47294,325,4
FL2-1,1955,-2.34941,53.47282,325,14
FL2-1,1955,-2.34587,53.47274,325,14
FL2-1,1955,-2.34346,53.47297,325,4
FL2-1,1955,-2.33864,53.47299,325,-7
FL2-1,1955,-2.33073,53.47328,325,-7
FL2-1,1955,-2.30722,53.47294,325,4
FL2-1,1955,-2.30104,53.47286,325,14
FL2-1,1955,-2.29811,53.47296,325,24
FL2-1,1955,-2.29615,53.47283,325,34
FL2-1,1955,-2.29389,53.47279,325,44
FL2-1,1955,-2.28997,53.47276,325,44
FL2-1,1955,-2.28907,53.4728,325,34
FL2-1,1955,-2.28688,53.47285,325,24
FL2-1,1955,-2.28439,53.47299,325,14
FL2-1,1955,-2.27461,53.47297,325,14
FL2-1,1955,-2.27009,53.47285,325,24
FL2-1,1955,-2.26482,53.47277,325,34
FL2-1,1955,-2.2615,53.47273,327,44
FL2-1,1955,-2.26007,53.47206,328,54
FL2-1,1955,-2.25058,53.47338,335,75
FL2-1,1955,-2.24606,53.47348,335,95
FL2-1,1955,-2.23634,53.47373,335,95
FL2-1,1955,-2.23333,53.47373,335,75
FL2-1,1955,-2.22256,53.47429,335,56
FL2-1,1955,-2.22007,53.4743,335,46
FL2-1,1955,-2.21834,53.47417,335,36
FL2-1,1955,-2.21465,53.47426,335,25
FL2-1,1955,-2.21088,53.47436,336,16
FL2-1,1955,-2.18377,53.47458,346,16
FL2-1,1955,-2.1785,53.47446,345,6
FL2-1,1955,-2.17398,53.47428,345,-4
FL2-1,1955,-2.16946,53.47411,345,-14
FL2-1,1955,-2.16486,53.47407,345,-24
FL2-1,1955,-2.15921,53.47376,347,-23
FL2-1,1955,-2.15582,53.47372,360,-13
FL2-1,1955,-2.15386,53.47373,368,-3
FL2-1,1955,-2.15288,53.47368,372,7
FL2-1,1955,-2.15205,53.47364,375,17
FL2-1,1955,-2.14911,53.47355,387,27
FL2-1,1955,-2.14421,53.47329,405,38
FL2-1,1955,-2.14226,53.47325,404,48
FL2-1,1955,-2.1403,53.47338,403,58
FL2-1,1955,-2.13826,53.47325,401,68
FL2-1,1955,-2.13563,53.47312,400,78
FL2-1,1955,-2.13126,53.47294,397,88
FL2-1,1955,-2.12689,53.47286,391,98
FL2-1,1955,-2.12297,53.47277,390,107
FL2-1,1955,-2.1192,53.4726,390,107
FL2-1,1955,-2.11408,53.47242,381,97
FL2-1,1955,-2.11099,53.47251,383,87
FL2-1,1955,-2.10761,53.47225,383,77
FL2-1,1955,-2.10346,53.47225,386,67
FL2-1,1955,-2.09842,53.47199,388,58
FL2-1,1955,-2.0899,53.47168,394,59
FL2-1,1955,-2.06173,53.47152,491,60
FL2-1,1955,-2.03958,53.47157,526,62
FL2-1,1955,-1.96358,53.47144,499,73
FL2-1,1955,-1.95175,53.47134,530,74
FL2-1,1955,-1.94106,53.47125,557,65
FL2-1,1955,-1.88999,53.47049,734,65
FL2-1,1955,-1.8704,53.47034,809,73
FL2-1,1955,-1.82958,53.46967,886,75
FL2-1,1955,-1.77799,53.46895,716,63
FL2-1,1955,-1.71888,53.46914,812,57
FL2-1,1955,-1.70818,53.46947,800,55
FL2-1,1955,-1.669,53.47144,731,47
FL2-1,1955,-1.64511,53.4724,638,37
FL2-1,1955,-1.60249,53.47119,595,27
FL3-1,1955,-2.41057,53.45726,325,-28
FL3-1,1955,-2.40658,53.45722,325,-27
FL3-1,1955,-2.38158,53.45672,325,-17
FL3-1,1955,-2.35108,53.45628,325,-7
FL3-1,1955,-2.33903,53.45618,325,1
FL3-1,1955,-2.33414,53.45606,325,3
FL3-1,1955,-2.32562,53.4559,325,13
FL3-1,1955,-2.32337,53.456,325,13
FL3-1,1955,-2.29521,53.45674,325,23
FL3-1,1955,-2.24078,53.45776,344,31
FL3-1,1955,-2.21238,53.45759,345,34
FL3-1,1955,-2.1995,53.45739,345,44
FL3-1,1955,-2.1989,53.45743,345,47
FL3-1,1955,-2.15794,53.457,357,55
FL3-1,1955,-2.15598,53.45723,357,57
FL3-1,1955,-2.0727,53.45906,438,65
FL3-1,1955,-2.0663,53.45902,454,59
FL3-1,1955,-2.041,53.45872,469,50
FL3-1,1955,-1.96735,53.45813,490,48
FL3-1,1955,-1.9419,53.45813,545,53
FL3-1,1955,-1.93979,53.45808,549,54
FL3-1,1955,-1.83926,53.46019,927,74
FL3-1,1955,-1.78677,53.46025,762,64
FL3-1,1955,-1.76411,53.46016,640,55
