longitude,latitude,height_sea_level_m,height_geometric_m,gravity_mgal,gravity_disturbance_mgal,gravity_bouguer_mgal
25.015,-26.26334,1230.2,1257.4745347496853,978681.38,25.081592451548204,-113.25916483879348
25.01932,-26.38713,1297.0,1324.5741500447211,978669.02,24.538157923147082,-122.66210113701632
25.02499,-26.39667,1304.8,1332.4013221138152,978669.28,26.526959670824,-121.33932057180516
25.045,-26.07668,1165.2,1192.107147909697,978681.08,17.95481364976149,-113.81754289587766
25.07668,-26.35001,1262.5,1289.9717916856014,978665.19,12.70030669902917,-130.46012564733485
25.08833,-26.12334,1169.5,1196.4458809433077,978679.28,14.165058059617877,-116.72786692627301
25.12167,-26.05667,1189.6,1216.4251973896876,978664.89,10.69347898918204,-125.00019410482102
25.12334,-26.27333,1216.1,1243.3420243036123,978676.18,14.805681132595055,-122.29068536015401
25.12833,-26.19501,1204.9,1231.950696752899,978679.48,20.198354242020287,-115.51500829904145
25.17999,-26.05333,1193.6,1220.379579490748,978667.69,14.951434701797552,-118.54202667537942
25.18668,-26.23,1220.4,1247.4958456040804,978664.09,7.1007204302586615,-130.71558040466164
25.18832,-26.425,1313.1,1340.8045610794402,978651.89,9.69152535975445,-138.70628641826363
25.23833,-26.075,1221.9,1248.6982562329933,978657.19,11.643932096892968,-125.61085739193612
25.245,-26.16499,1222.2,1249.156249571555,978667.69,15.862554171355441,-120.42516534531771
25.29167,-26.53833,1360.6,1388.7082030400177,978662.99,27.402164789033122,-126.86034985187828
25.3,-26.10001,1237.2,1264.0542176307556,978639.09,-3.5019769771024585,-143.37484930351008
25.345,-26.05333,1279.5,1306.2876310255606,978631.2,4.965066930861212,-140.2507573983908
25.34666,-26.36667,1301.8,1329.3230496454064,978655.79,14.243586423574015,-131.4930857138176
25.35834,-26.13333,1268.6,1295.5392339160796,978634.19,-1.0664443763671443,-144.251912048812
25.36667,-26.61501,1355.7,1384.097096719633,978673.38,30.82970432145521,-122.82941309135919
25.42667,-26.14999,1289.0,1316.059893266249,978640.09,9.974533934728242,-135.4144436796398
25.44333,-26.93832,1344.8,1373.9492496059454,978709.97,40.80860824964475,-112.3524578759158
25.44667,-26.68832,1338.7,1367.2829720731875,978693.88,40.835768692079,-110.48373352915576
25.45332,-26.895,1335.9,1364.9764149509638,978713.47,44.69809641118627,-106.37715644017064
25.47166,-26.325,1381.3,1408.8807072508293,978643.29,29.27889614982996,-126.01842484838855
25.47501,-26.795,1346.6,1375.443747319791,978695.38,37.11260115040932,-115.19661976062349
25.50833,-26.21333,1341.4,1368.7102627241356,978646.29,27.888904144521803,-123.7774295138392
25.52333,-26.94833,1362.8,1391.959679580021,978708.47,44.13451194285881,-110.96677797236859
25.53168,-26.63667,1349.0,1377.4542023524077,978683.58,37.41351905791089,-115.65465697812468
25.55833,-26.27333,1357.6,1385.0986225109634,978651.59,33.94800305436365,-119.25067329443326
25.60667,-26.59167,1354.5,1382.8553759149574,978686.58,45.334094700287096,-108.86003564506106
25.60834,-26.78667,1377.7,1406.5249478079838,978688.28,40.20599398226477,-115.8433969588823
25.61,-26.50667,1350.2,1378.3299713559784,978675.38,38.87468194914982,-114.45607195068555
25.61166,-26.37833,1351.2,1378.9853826445187,978663.59,36.52637412585318,-116.66108513833026
25.61667,-26.35167,1352.4,1380.1131189527084,978661.69,36.88963713659905,-116.22891702639524
25.62334,-26.99667,1381.0,1410.2368201408847,978693.88,31.65428018849343,-124.78425669371859
25.63333,-26.45667,1351.8,1379.7841807919654,978669.59,37.13665445242077,-116.0882510093376
25.64333,-26.215,1366.1,1393.418090214205,978649.09,38.19161471922416,-115.94202565822874
25.68668,-26.55333,1379.8,1408.0228103307902,978673.08,42.36766661098227,-114.67617075656159
25.71001,-26.99167,1414.6,1443.7826789294247,978686.98,35.467744343099184,-123.85997567563732
25.73167,-26.79167,1386.8,1415.5587785232976,978674.58,28.92955302563496,-127.68539647983584
25.735,-26.16833,1394.1,1421.2714530196502,978633.1,34.13149844191503,-122.773946430536
25.77834,-26.96333,1436.2,1465.2847850794672,978676.28,33.469566399464384,-129.89718073699763
25.79832,-26.20168,1204.2,1231.454078489831,978672.18,12.2680847045267,-101.66392088051585
25.80333,-26.52167,1380.1,1408.1300826257952,978657.29,28.895778834819794,-127.74570953020881
25.83667,-26.795,1421.6,1450.2813623066136,978662.79,27.60891221964266,-131.64187051702902
25.84666,-26.96333,1449.0,1478.0598517192527,978672.58,33.71036555909086,-129.14662523326575
25.86667,-26.39333,1409.1,1436.7781919047652,978621.5,11.186535200919025,-149.21035598894488
25.905,-26.815,1456.9,1485.6601439922786,978659.99,34.26886855682824,-130.1520778968546
25.92332,-26.94333,1459.7,1488.7685947022774,978667.48,33.37288834573701,-131.73873765547833
25.92833,-26.33167,1399.0,1426.4710043912432,978632.3,23.23655129992403,-135.18669697887884
25.965,-26.97,1478.6,1507.7503901492983,978669.68,39.48229312826879,-127.99781616672647
25.97,-26.92332,1495.0,1524.0614426189666,978662.09,40.32884455739986,-128.68495110280628
