easting,northing,gCBGA
329482,4259574,-217.24900000000
335252,4262999,-203.75300000000
335002,4262998,-204.51500000000
335003,4262749,-204.16200000000
335003,4262499,-203.56200000000
335253,4262499,-204.06300000000
335251,4262749,-203.98200000000
335252,4263250,-204.07400000000
335001,4263250,-204.82100000000
334751,4263000,-205.74900000000
334751,4263250,-204.30700000000
334500,4262999,-206.23500000000
334250,4262999,-206.62300000000
334501,4263500,-205.88600000000
334501,4263249,-206.02700000000
334251,4263250,-206.55700000000
334251,4263499,-206.44200000000
334250,4263749,-206.28300000000
334250,4263999,-205.98000000000
334500,4263998,-205.53200000000
334752,4263999,-204.17700000000
334501,4263749,-205.40500000000
337501,4261998,-197.11400000000
338001,4262000,-196.14900000000
337000,4261999,-198.29100000000
336500,4261999,-196.65100000000
336001,4261999,-201.57800000000
337501,4261499,-197.15500000000
337001,4261499,-198.56800000000
336501,4261499,-200.28600000000
336001,4261499,-202.05600000000
335501,4261498,-203.50100000000
335001,4261499,-204.91400000000
334501,4261499,-205.00300000000
334001,4261500,-207.51100000000
333502,4261499,-208.93000000000
333003,4261500,-210.01000000000
336760,4264196,-196.10000000000
330061,4265083,-210.72200000000
334269,4258076,-209.44700000000
336842,4260925,-199.40400000000
335501,4263998,-202.13000000000
333002,4263499,-209.13500000000
333502,4263498,-207.93500000000
334002,4263498,-207.10700000000
334002,4263998,-206.47500000000
333502,4263998,-208.09900000000
333003,4263998,-209.20300000000
333002,4264499,-208.86200000000
333502,4264499,-207.71500000000
334001,4264499,-207.25300000000
334501,4264500,-205.23300000000
335001,4264499,-204.44500000000
335500,4264499,-202.04100000000
336001,4264498,-199.32900000000
336500,4264499,-197.35300000000
337002,4264499,-195.61800000000
337503,4264500,-193.14300000000
338002,4264499,-193.17900000000
338502,4264498,-193.08100000000
339002,4264497,-193.13100000000
339499,4264500,-194.09600000000
337501,4259999,-199.64700000000
339501,4259000,-203.62000000000
338501,4258998,-200.19200000000
337500,4259000,-200.49100000000
336502,4259000,-201.72800000000
335501,4259000,-205.29600000000
334502,4258999,-208.79900000000
333501,4258999,-211.42500000000
332501,4258999,-214.01200000000
331501,4258999,-215.70700000000
330501,4258999,-216.92900000000
329501,4259000,-217.25300000000
329501,4263999,-212.64400000000
330499,4264002,-212.80600000000
331501,4263999,-212.45000000000
332501,4264000,-210.08200000000
335612,4255587,-203.89300000000
335614,4255587,-205.54200000000
335512,4255587,-207.32400000000
335314,4255586,-207.54600000000
335116,4255605,-207.56700000000
334910,4255620,-205.56300000000
334706,4255610,-208.47000000000
334505,4255596,-208.74000000000
334309,4255583,-208.87300000000
334108,4255556,-209.15900000000
333903,4255540,-209.42100000000
333702,4255554,-209.44900000000
333507,4255559,-209.68900000000
333307,4255556,-209.93100000000
333050,4255539,-209.43400000000
332801,4255544,-209.28900000000
332295,4255532,-210.28000000000
331810,4255522,-212.27400000000
331307,4255516,-213.15300000000
330811,4255514,-213.52800000000
330303,4255505,-214.92700000000
333905,4257995,-210.79300000000
334102,4257997,-210.07000000000
334304,4257997,-209.26000000000
334500,4258000,-208.60200000000
334697,4257998,-208.09100000000
334899,4257997,-206.98300000000
335104,4257997,-206.74000000000
335303,4258002,-203.98700000000
335503,4257994,-205.41500000000
331503,4258000,-215.86600000000
332502,4257997,-214.50800000000
333004,4258002,-212.22900000000
333505,4258001,-211.65600000000
335700,4257999,-205.45500000000
336107,4257997,-204.21300000000
336504,4257996,-203.39500000000
337503,4257991,-200.28200000000
336525,4260461,-200.01700000000
336737,4260451,-199.25400000000
336936,4260437,-198.02100000000
337133,4260427,-197.59200000000
337332,4260410,-198.36300000000
337533,4260396,-198.49100000000
337734,4260388,-196.57700000000
337931,4260377,-198.99000000000
339499,4261489,-200.41100000000
338998,4261501,-197.88300000000
338503,4261493,-199.02400000000
337708,4260554,-198.24300000000
332501,4265999,-209.30200000000
333501,4265999,-207.06900000000
334501,4265999,-204.52500000000
335501,4265999,-200.84800000000
336502,4265999,-195.76800000000
337503,4265999,-192.05200000000
338502,4266000,-190.78500000000
339502,4265998,-191.30100000000
329501,4266999,-208.97400000000
330500,4266999,-209.30700000000
332500,4267000,-208.93500000000
333501,4267000,-206.49300000000
334500,4266999,-203.52300000000
335502,4267000,-199.42000000000
336502,4267000,-194.68200000000
337503,4266999,-190.78300000000
338501,4266999,-188.58100000000
339502,4267000,-187.66600000000
342542,4267010,-194.77400000000
341629,4267491,-190.18700000000
340017,4263945,-198.68500000000
339500,4264000,-197.39600000000
338999,4263998,-193.11800000000
338501,4263999,-193.41000000000
338501,4263499,-194.68000000000
329501,4259999,-215.97400000000
330502,4259999,-214.83000000000
331502,4260000,-214.95400000000
332502,4259999,-212.68200000000
333502,4260000,-210.79100000000
335502,4262999,-202.87400000000
335752,4262750,-202.27200000000
336003,4262499,-201.58300000000
336004,4262748,-201.32400000000
335502,4262749,-202.93300000000
335502,4262500,-203.45600000000
335752,4262500,-201.74200000000
336001,4263001,-201.17600000000
336001,4263250,-200.79800000000
336000,4263500,-200.31700000000
335751,4263499,-201.51700000000
335750,4263250,-201.56600000000
335751,4262999,-201.29300000000
335502,4263249,-202.11100000000
335502,4263499,-201.58700000000
335251,4263500,-203.24400000000
335001,4263499,-203.93200000000
334751,4263498,-202.63900000000
334751,4263748,-204.42000000000
335001,4263748,-204.05700000000
335253,4263749,-203.38700000000
335252,4263999,-203.10700000000
338000,4262499,-195.70800000000
337500,4262500,-196.93900000000
337000,4262499,-198.11500000000
336501,4262499,-199.47100000000
334501,4262499,-207.18600000000
334002,4262501,-207.07600000000
333502,4262499,-207.46600000000
333002,4262498,-209.38200000000
333002,4261999,-209.57300000000
333502,4261998,-208.22800000000
334002,4261999,-207.12300000000
334502,4262000,-206.10100000000
335002,4262000,-203.65700000000
335503,4262001,-203.66300000000
336760,4264195,-196.21900000000
330061,4265080,-210.87000000000
334268,4258076,-209.62300000000
336844,4260925,-199.51600000000
335002,4263999,-203.42800000000
336502,4264000,-197.92600000000
336001,4264000,-199.99000000000
336502,4263500,-197.39500000000
337003,4263499,-193.79100000000
337503,4263499,-193.54400000000
338002,4263499,-194.43100000000
338001,4262999,-194.85900000000
338003,4263999,-193.29500000000
337503,4264000,-192.97900000000
337003,4264000,-190.90000000000
333501,4264998,-208.12000000000
334000,4264999,-206.89000000000
334501,4264999,-204.09300000000
335002,4265000,-203.78700000000
335502,4265001,-201.71200000000
336002,4265001,-199.08000000000
336503,4264999,-196.80100000000
337002,4264999,-194.82500000000
337502,4264998,-193.53400000000
338002,4264999,-192.52300000000
338501,4265000,-192.44800000000
339001,4265000,-192.65400000000
339502,4264999,-194.13700000000
338001,4260998,-198.97200000000
337501,4261000,-196.73200000000
337001,4261000,-198.88100000000
336501,4261000,-200.91000000000
336000,4261001,-202.28700000000
335500,4261000,-204.22100000000
335001,4260999,-205.63000000000
334500,4260999,-207.04700000000
334001,4261000,-208.18500000000
333501,4261000,-209.81800000000
333002,4261001,-211.01700000000
332502,4260999,-212.05900000000
331501,4260998,-214.07300000000
330500,4260999,-215.00500000000
332501,4263000,-211.72800000000
331501,4263000,-213.05100000000
330500,4262999,-212.80700000000
329500,4263000,-213.48100000000
329501,4262000,-214.41600000000
330501,4262000,-214.45200000000
331500,4262000,-212.92500000000
332501,4262000,-211.19800000000
329501,4261000,-215.25500000000
335451,4263040,-203.15100000000
335607,4255587,-205.51900000000
335611,4255587,-205.51500000000
335312,4255587,-207.62700000000
335412,4255584,-207.50200000000
335215,4255593,-207.57800000000
335013,4255619,-207.73700000000
334807,4255616,-208.11200000000
334608,4255602,-207.93600000000
334406,4255589,-208.73900000000
334209,4255576,-209.05900000000
334011,4255548,-209.31600000000
333905,4255537,-209.40300000000
335819,4255577,-205.04600000000
336009,4255573,-205.45100000000
336209,4255565,-204.77600000000
336406,4255566,-204.39600000000
336613,4255560,-201.65400000000
336819,4255548,-203.07900000000
337315,4255510,-199.81500000000
337767,4255294,-200.34400000000
338095,4254901,-200.93100000000
333905,4257994,-210.59000000000
334002,4257997,-210.20500000000
334202,4258001,-209.70100000000
334401,4257998,-208.93900000000
334601,4257997,-208.30700000000
334798,4257999,-207.87000000000
335001,4257999,-207.29100000000
335203,4257999,-206.41000000000
335399,4257999,-205.77800000000
331997,4258002,-215.27100000000
332752,4257998,-213.44600000000
333252,4258002,-212.18600000000
333705,4257999,-211.07600000000
335701,4257999,-205.30000000000
335901,4258000,-204.91600000000
336299,4258000,-204.50300000000
336992,4258013,-201.60400000000
