Northing_m,Easting_m,Elevation_m,Resistivity_ohmm
4249156.0,346606.2,545.0355,825.11
4249161.0,343387.9,549.5103,365.66
4249168.0,332567.2,519.5175,699.02
4249183.0,327262.2,561.6695,2.58
4249190.0,329875.3,418.5357,64.54
4249190.0,341519.1,594.5619,1354.86
4249196.0,335122.1,429.0335,1599.88
4249198.0,324572.8,533.2711,30.05
4249222.0,332417.8,510.3047,662.04
4249236.0,339513.7,431.0031,7120.69
4249248.0,344826.8,462.8937,614.58
4249257.0,337379.9,591.9457,25281.53
4249262.0,327046.0,555.4732,2.42
4249268.0,329659.1,410.0037,43.53
4249269.0,332288.5,503.3553,635.75
4249290.0,334863.7,410.3216,1490.02
4249302.0,346206.8,570.8994,907.35
4249307.0,342988.5,633.2428,412.67
4249309.0,332178.6,497.618,617.08
4249326.0,324223.3,532.6373,38.01
4249335.0,341119.8,545.6736,2029.0
4249340.0,326829.9,548.7087,2.6
4249340.0,332092.8,494.1787,603.95
4249347.0,329443.0,403.4288,29.7
4249363.0,332030.9,490.1479,594.87
4249378.0,334620.9,396.0317,1315.59
4249379.0,331986.1,486.4583,588.29
4249381.0,339114.3,415.9798,13502.81
4249391.0,331953.8,484.0672,583.47
4249393.0,344427.5,536.1352,414.07
4249399.0,331930.6,482.9405,579.97
4249402.0,336982.1,565.4372,17597.87
4249405.0,331914.2,482.9954,577.46
4249410.0,331901.5,483.4715,575.48
4249414.0,331889.6,483.9929,573.61
4249419.0,326613.8,545.1954,3.1
4249419.0,331877.9,484.5867,571.74
4249423.0,331866.1,484.6439,569.83
4249426.0,329226.9,598.9235,20.44
4249427.0,331854.4,483.9493,567.9
4249433.0,331839.3,482.799,565.39
4249441.0,331817.2,481.1861,561.61
4249447.0,345807.4,610.1676,903.42
4249452.0,331785.8,478.926,556.05
4249452.0,342589.2,377.7201,550.54
4249458.0,334401.2,382.8601,1220.27
4249459.0,323856.4,532.5377,35.48
4249468.0,331742.0,476.0309,547.82
4249481.0,340720.4,393.0605,2904.49
4249484.0,347162.0,526.4438,561.9
4249490.0,331681.5,472.6604,535.45
4249498.0,326397.7,544.9038,3.95
4249504.0,329010.7,591.7332,14.68
4249521.0,331597.8,468.2416,516.21
4249527.0,338714.9,407.4164,20691.77
4249528.0,334209.1,612.0064,856.63
4249538.0,344028.1,560.5324,298.85
4249539.0,336604.3,535.9415,10319.23
4249563.0,331481.6,464.2524,485.14
4249578.0,326176.1,543.2949,5.17
4249583.0,328794.6,584.9632,10.93
4249592.0,334033.0,599.7018,896.17
4249593.0,323489.0,534.0002,30.09
4249593.0,345408.1,367.4158,1106.25
4249598.0,342189.8,479.1895,816.34
4249617.0,331333.0,459.6066,437.59
4249626.0,340321.0,643.3536,3275.68
4249629.0,346762.7,548.5765,899.39
4249652.0,333869.3,588.7432,929.53
4249662.0,328578.5,579.9317,8.45
4249664.0,336260.8,504.2505,6066.08
4249665.0,325937.8,540.5599,6.9
4249672.0,338315.5,381.3292,27310.91
4249681.0,331158.0,451.2454,373.25
4249684.0,343628.7,610.1773,312.02
4249710.0,333709.5,577.8933,945.68
4249738.0,345008.7,445.7061,960.76
4249740.0,328362.4,575.8011,6.86
4249743.0,341790.4,600.1114,1327.89
4249754.0,330955.9,442.1905,295.12
4249760.0,325677.9,536.908,9.22
4249768.0,333549.8,565.5342,933.04
4249771.0,339921.7,545.3216,4576.23
4249775.0,346363.3,572.8507,1167.03
4249779.0,335946.9,474.8931,3726.79
4249817.0,337916.2,621.4942,23821.97
4249819.0,328146.2,571.6962,5.89
4249826.0,333390.0,553.0543,886.03
4249829.0,343229.4,334.9277,516.64
4249833.0,330739.7,435.7765,216.64
4249864.0,325391.6,532.9049,12.22
4249883.0,335661.4,450.9306,2459.24
4249883.0,344609.3,530.6654,625.39
4249884.0,333230.3,541.6623,790.61
4249888.0,341391.0,640.0121,2105.87
4249898.0,327930.1,567.9191,5.34
4249912.0,330523.6,430.7034,151.6
4249917.0,339522.3,503.8339,7086.6
4249920.0,345963.9,608.8422,1381.22
4249925.0,347335.5,522.6313,555.5
4249942.0,333070.5,530.5657,572.16
4249962.0,337518.4,590.3383,20726.62
4249974.0,342830.0,424.7821,641.38
4249976.0,327714.0,564.2622,5.05
4249977.0,335403.0,432.0848,1769.27
4249980.0,325073.9,532.1699,15.95
4249990.0,330307.5,422.5795,102.26
4249997.0,332921.2,520.548,431.73
4250029.0,344209.9,575.4518,436.89
4250034.0,340991.7,534.6475,2881.07
4250044.0,332791.8,512.9041,355.26
4250055.0,327497.8,558.2812,4.87
4250062.0,339122.9,523.5419,11747.27
4250065.0,335160.2,417.0585,1387.52
4250066.0,345564.5,371.6662,1886.49
4250069.0,330091.4,413.7386,67.14
4250070.0,346936.2,551.144,953.95
4250084.0,332681.9,506.9013,315.69
4250100.0,337140.6,572.1733,14941.11
4250107.0,324724.3,532.058,19.93
4250115.0,332596.1,501.9944,297.27
4250120.0,342430.6,499.1992,821.5
4250134.0,327281.7,552.4462,4.76
4250138.0,332534.2,497.2047,289.06
4250145.0,334940.5,402.6005,1205.19
4250148.0,329875.2,407.4911,43.17
4250154.0,332489.4,495.1086,285.33
4250166.0,332457.1,494.6781,283.61
4250174.0,332433.9,493.7703,282.83
4250174.0,343810.6,633.3521,480.31
4250179.0,340592.3,429.9385,3804.42
4250180.0,332417.6,492.9746,282.49
4250185.0,332404.8,492.1925,282.33
4250189.0,332392.9,491.6719,282.27
4250193.0,332381.2,491.6496,282.28
4250198.0,332369.4,491.3968,282.38
4250202.0,332357.7,490.5246,282.54
4250207.0,332342.6,489.3655,282.83
4250207.0,338723.5,471.7574,18703.73
4250211.0,345165.2,461.3317,1729.35
4250212.0,327065.6,549.6309,4.76
4250215.0,332320.5,487.8915,283.43
4250215.0,334748.4,386.8442,1102.9
4250216.0,346536.8,577.1574,1427.27
4250225.0,336797.1,532.8921,9898.72
4250226.0,329659.1,402.6029,27.28
4250227.0,332289.1,484.9876,284.6
4250240.0,324357.4,531.2375,22.62
4250243.0,332245.4,481.5121,286.73
4250265.0,332184.8,479.8928,290.28
4250265.0,342031.3,504.2298,1103.43
4250279.0,334572.3,615.7226,736.24
4250291.0,326849.4,548.9083,4.9
4250295.0,332101.1,478.1355,295.57
4250305.0,329443.0,598.3659,17.97
4250319.0,343411.2,400.4215,701.67
4250324.0,340192.9,330.932,5263.97
4250337.0,331984.9,472.8763,301.56
4250339.0,334408.6,606.1429,788.13
4250339.0,336483.2,489.2133,6433.38
4250353.0,338324.2,357.5025,25324.48
4250356.0,344765.8,539.4081,1125.15
4250361.0,346137.4,612.3665,1926.27
4250372.0,326627.9,546.4023,5.25
4250374.0,323990.0,532.425,23.82
4250384.0,329226.8,591.5711,11.43
4250392.0,331836.3,465.8303,302.65
4250397.0,334248.8,597.0671,854.7
4250410.0,341631.9,525.9013,1574.94
4250443.0,336197.7,466.5752,4273.02
4250455.0,331661.3,458.0603,289.8
4250455.0,334089.1,585.2916,914.56
4250458.0,326389.6,542.6937,5.88
4250462.0,329010.7,584.0038,7.42
4250465.0,343011.8,494.4513,679.94
4250465.0,347111.3,550.3621,905.98
4250470.0,339793.6,582.7384,5840.8
4250498.0,337926.4,599.8683,20639.35
4250502.0,344366.4,588.1311,729.14
4250506.0,345738.1,375.101,2640.35
4250508.0,323622.6,536.3362,26.95
4250513.0,333929.3,573.4526,824.09
4250529.0,331459.2,449.3022,255.4
4250537.0,335939.3,446.3546,2978.39
4250541.0,328794.6,576.7316,5.01
4250553.0,326129.7,538.5279,6.95
4250556.0,341232.5,490.6175,2218.37
4250571.0,333769.6,561.1806,680.66
4250607.0,331243.1,441.7619,202.65
4250610.0,342612.5,470.3476,821.22
4250610.0,346712.0,580.4281,1451.17
4250615.0,339394.2,545.9836,9751.43
4250620.0,328578.5,571.7624,3.59
4250625.0,335696.5,430.3993,2011.31
4250629.0,333609.8,549.8713,524.24
4250635.0,337548.6,575.1922,18063.93
4250647.0,343967.1,656.5663,623.36
4250652.0,345338.7,466.955,2198.72
4250657.0,325843.4,533.7483,8.57
4250684.0,333460.5,540.2606,396.14
4250686.0,331026.9,434.9087,147.43
4250698.0,328362.3,567.2876,2.75
4250701.0,340833.2,423.0832,3008.22
