Easting[m],Northing[m],Elevation[m]
334350.000,4262200.000,499.977
334700.000,4260650.000,499.966
335050.000,4263700.000,500.071
335100.000,4268950.000,499.918
332700.000,4254850.000,500.087
334300.000,4259100.000,499.885
332400.000,4253200.000,499.833
334800.000,4259800.000,500.183
333550.000,4257600.000,500.206
335100.000,4268900.000,499.794
335100.000,4269000.000,499.784
332800.000,4255250.000,499.781
335200.000,4267450.000,499.760
335450.000,4265900.000,499.667
334400.000,4259250.000,499.664
335100.000,4268850.000,499.653
335100.000,4269050.000,499.650
334950.000,4264150.000,500.440
335150.000,4267750.000,499.539
335100.000,4269100.000,499.516
335100.000,4268800.000,499.512
334150.000,4258850.000,500.516
335100.000,4263600.000,499.478
335200.000,4263300.000,500.523
332450.000,4253600.000,499.412
335100.000,4269150.000,499.382
335100.000,4268750.000,499.371
332650.000,4254600.000,499.368
335350.000,4266750.000,499.360
332500.000,4253850.000,499.351
333400.000,4257200.000,500.737
334950.000,4260350.000,499.237
335100.000,4269200.000,499.215
333050.000,4256150.000,500.819
335100.000,4268700.000,499.173
332950.000,4255800.000,499.155
334400.000,4260850.000,499.132
335450.000,4265600.000,499.130
334750.000,4262550.000,500.901
333150.000,4256500.000,499.062
333450.000,4257350.000,499.051
332900.000,4255600.000,500.956
335100.000,4269250.000,499.033
335100.000,4268650.000,498.956
334900.000,4260450.000,498.943
335300.000,4267000.000,501.064
335100.000,4269300.000,498.851
334650.000,4259600.000,501.179
334550.000,4262350.000,501.183
335100.000,4269800.000,498.745
335450.000,4265550.000,501.273
333900.000,4258400.000,498.719
335100.000,4269350.000,498.669
334950.000,4263900.000,501.349
332600.000,4254350.000,498.648
333700.000,4257950.000,498.622
333350.000,4257050.000,501.403
335100.000,4269750.000,498.561
332550.000,4254050.000,501.508
335100.000,4269400.000,498.487
333750.000,4258050.000,501.514
335300.000,4264900.000,498.476
335250.000,4267200.000,498.448
333850.000,4258300.000,498.440
334150.000,4262050.000,498.435
335400.000,4266450.000,498.429
335100.000,4268600.000,498.429
335100.000,4269700.000,498.342
332450.000,4253550.000,501.694
335100.000,4269450.000,498.305
334100.000,4262000.000,501.702
334950.000,4260050.000,501.768
334900.000,4259950.000,501.786
335100.000,4269850.000,498.176
335100.000,4269500.000,498.123
335100.000,4269650.000,498.123
334150.000,4261000.000,501.888
333900.000,4261350.000,501.939
334050.000,4261950.000,501.942
332350.000,4252850.000,497.972
332750.000,4255050.000,502.042
334950.000,4260100.000,497.953
335100.000,4269550.000,497.941
333300.000,4256900.000,502.065
332550.000,4254100.000,497.929
335100.000,4269600.000,497.904
333950.000,4258500.000,497.892
332400.000,4253150.000,502.114
332600.000,4254300.000,502.227
333600.000,4257700.000,502.260
333800.000,4258200.000,497.728
335100.000,4268550.000,497.688
335000.000,4264450.000,502.334
333100.000,4256350.000,497.632
335100.000,4269900.000,497.606
334500.000,4260800.000,502.438
332400.000,4253250.000,497.551
333900.000,4261600.000,502.459
332850.000,4255450.000,497.492
334750.000,4260600.000,497.466
335400.000,4265200.000,502.575
334550.000,4259450.000,502.588
333000.000,4255950.000,502.620
333500.000,4257500.000,497.364
333000.000,4256000.000,497.354
333250.000,4256750.000,502.727
333900.000,4261650.000,497.259
332850.000,4255400.000,502.758
335450.000,4265950.000,502.765
335150.000,4267800.000,502.832
332450.000,4253650.000,497.131
335100.000,4264600.000,497.069
332650.000,4254550.000,502.946
335100.000,4269950.000,497.036
334900.000,4262700.000,496.987
335450.000,4265650.000,496.986
335100.000,4268500.000,496.946
332750.000,4255100.000,496.839
333950.000,4261200.000,496.673
334650.000,4260700.000,503.417
335450.000,4265500.000,503.425
335450.000,4265850.000,496.570
334500.000,4259400.000,496.564
333200.000,4256650.000,496.556
334300.000,4260900.000,496.523
332700.000,4254900.000,496.508
334800.000,4260550.000,496.482
335100.000,4270000.000,496.466
335050.000,4262800.000,503.540
333100.000,4256300.000,503.575
332700.000,4254800.000,503.666
334850.000,4260500.000,496.280
334000.000,4258600.000,496.222
335100.000,4268450.000,496.204
335150.000,4267700.000,496.198
335000.000,4263800.000,503.885
332500.000,4253800.000,503.915
335250.000,4263050.000,503.920
334250.000,4259000.000,503.922
333950.000,4261800.000,496.066
332450.000,4253500.000,503.975
335350.000,4265050.000,495.994
335350.000,4266800.000,504.014
335100.000,4270050.000,495.896
332650.000,4254650.000,495.789
333650.000,4257850.000,495.776
333250.000,4256800.000,495.723
332900.000,4255650.000,495.691
332350.000,4252900.000,495.690
332400.000,4253100.000,504.396
335100.000,4268400.000,495.590
332950.000,4255750.000,504.421
334850.000,4262650.000,504.440
333050.000,4256200.000,495.553
333200.000,4256600.000,504.519
334200.000,4258950.000,495.422
333500.000,4257450.000,504.597
335250.000,4264800.000,495.386
335400.000,4266500.000,504.655
335100.000,4270100.000,495.327
335150.000,4264650.000,504.677
334100.000,4258750.000,504.693
332400.000,4253300.000,495.270
333650.000,4257800.000,504.741
334350.000,4259200.000,495.203
334600.000,4262400.000,495.195
335100.000,4268350.000,495.147
335200.000,4267500.000,504.858
332600.000,4254400.000,495.070
333300.000,4256950.000,495.061
333150.000,4256450.000,505.006
334950.000,4260150.000,494.979
335250.000,4267250.000,505.031
332800.000,4255200.000,505.046
334450.000,4259300.000,505.085
332550.000,4254000.000,505.087
334600.000,4259550.000,494.903
335150.000,4263450.000,494.876
332450.000,4253700.000,494.849
335450.000,4265700.000,494.843
334000.000,4261900.000,494.796
332500.000,4253900.000,494.788
334850.000,4259850.000,505.232
335100.000,4270150.000,494.757
335350.000,4266700.000,494.707
335200.000,4267400.000,494.662
335100.000,4268300.000,494.611
334950.000,4264200.000,494.590
335100.000,4262850.000,505.412
334050.000,4258700.000,494.553
334300.000,4262150.000,505.463
332800.000,4255300.000,494.515
333350.000,4257100.000,494.399
332550.000,4254150.000,494.350
335150.000,4263500.000,505.724
334550.000,4260750.000,494.232
334950.000,4264100.000,505.798
332600.000,4254250.000,505.806
335100.000,4270200.000,494.187
334950.000,4260400.000,505.825
335400.000,4265250.000,494.149
335300.000,4266950.000,494.142
335450.000,4266000.000,505.862
335450.000,4265450.000,505.884
334950.000,4260300.000,494.090
334750.000,4259750.000,493.967
335150.000,4267850.000,506.041
333050.000,4256100.000,506.084
332950.000,4255850.000,493.890
