Easting[m],Northing[m],Vp[km/s],ElevationReference[m],ElevationLidar[m]1,x[m],y[m],z[m],Vs[km/s],Vp/Vs
334050.507,4263440.918,3.397,499.930,1624.934,1250.000,2750.000,1125.000,2.018,1.683
333050.507,4260690.918,3.301,499.920,1624.921,250.000,0.000,1125.000,1.961,1.683
333800.507,4262690.918,3.405,499.850,1624.848,1000.000,2000.000,1125.000,2.023,1.683
336800.507,4263690.918,5.820,499.840,1749.841,4000.000,3000.000,1250.000,3.409,1.707
336800.507,4263815.918,5.820,500.230,1750.233,4000.000,3125.000,1250.000,3.409,1.707
333925.507,4262940.918,3.493,500.300,1625.302,1125.000,2250.000,1125.000,2.075,1.683
334425.507,4264440.918,3.390,499.690,1624.695,1625.000,3750.000,1125.000,2.014,1.683
336550.507,4262565.918,5.820,500.320,1750.318,3750.000,1875.000,1250.000,3.409,1.707
337175.507,4264440.918,5.820,499.650,1749.651,4375.000,3750.000,1250.000,3.409,1.707
336925.507,4264065.918,5.820,499.590,1749.590,4125.000,3375.000,1250.000,3.409,1.707
334300.507,4263815.918,3.398,499.530,1624.525,1500.000,3125.000,1125.000,2.019,1.683
337425.507,4264815.918,5.820,499.520,1749.523,4625.000,4125.000,1250.000,3.409,1.707
336425.507,4262065.918,5.820,499.500,1749.503,3625.000,1375.000,1250.000,3.409,1.707
334550.507,4263815.918,3.678,500.510,1625.505,1750.000,3125.000,1125.000,2.185,1.683
336300.507,4261315.918,5.820,500.540,1750.536,3500.000,625.000,1250.000,3.409,1.707
334925.507,4265565.918,3.403,499.420,1624.416,2125.000,4875.000,1125.000,2.022,1.683
334675.507,4264940.918,3.377,500.630,1625.635,1875.000,4250.000,1125.000,2.007,1.683
336550.507,4262690.918,5.820,499.360,1749.357,3750.000,2000.000,1250.000,3.409,1.707
334550.507,4264690.918,3.457,500.690,1625.693,1750.000,4000.000,1125.000,2.054,1.683
333300.507,4261315.918,3.309,500.690,1625.686,500.000,625.000,1125.000,1.966,1.683
333675.507,4262315.918,3.339,499.220,1624.216,875.000,1625.000,1125.000,1.984,1.683
337675.507,4265565.918,5.820,500.880,1750.880,4875.000,4875.000,1250.000,3.409,1.707
337425.507,4264940.918,5.820,499.070,1749.073,4625.000,4250.000,1250.000,3.409,1.707
336300.507,4261440.918,5.820,499.060,1749.058,3500.000,750.000,1250.000,3.409,1.707
333175.507,4261065.918,3.305,501.000,1626.000,375.000,375.000,1125.000,1.964,1.683
336675.507,4262940.918,5.820,501.140,1751.138,3875.000,2250.000,1250.000,3.409,1.707
333550.507,4261815.918,3.344,501.150,1626.148,750.000,1125.000,1125.000,1.987,1.683
333800.507,4262565.918,3.381,501.180,1626.184,1000.000,1875.000,1125.000,2.009,1.683
336300.507,4260690.918,5.820,501.180,1751.179,3500.000,0.000,1250.000,3.409,1.707
333425.507,4261690.918,3.310,498.800,1623.804,625.000,1000.000,1125.000,1.967,1.683
333175.507,4260940.918,3.305,501.220,1626.220,375.000,250.000,1125.000,1.964,1.683
334800.507,4265190.918,3.378,501.310,1626.308,2000.000,4500.000,1125.000,2.007,1.683
333425.507,4261815.918,3.327,498.680,1623.677,625.000,1125.000,1125.000,1.977,1.683
333050.507,4260815.918,3.301,498.660,1623.661,250.000,125.000,1125.000,1.961,1.683
333925.507,4263065.918,3.518,498.650,1623.649,1125.000,2375.000,1125.000,2.090,1.683
336425.507,4261940.918,5.820,501.360,1751.363,3625.000,1250.000,1250.000,3.409,1.707
334675.507,4265065.918,3.363,498.640,1623.642,1875.000,4375.000,1125.000,1.998,1.683
334300.507,4264190.918,3.466,501.360,1626.363,1500.000,3500.000,1125.000,2.059,1.683
336675.507,4263065.918,5.820,498.630,1748.627,3875.000,2375.000,1250.000,3.409,1.707
333675.507,4262190.918,3.336,501.380,1626.383,875.000,1500.000,1125.000,1.982,1.683
333550.507,4261940.918,3.373,498.600,1623.597,750.000,1250.000,1125.000,2.004,1.683
334800.507,4265315.918,3.378,498.500,1623.504,2000.000,4625.000,1125.000,2.007,1.683
333300.507,4261440.918,3.306,498.490,1623.487,500.000,750.000,1125.000,1.964,1.683
334425.507,4263815.918,3.547,498.480,1623.479,1625.000,3125.000,1125.000,2.108,1.683
334175.507,4263690.918,3.339,501.520,1626.516,1375.000,3000.000,1125.000,1.984,1.683
334300.507,4264065.918,3.511,498.440,1623.440,1500.000,3375.000,1125.000,2.086,1.683
333800.507,4262440.918,3.368,501.570,1626.569,1000.000,1750.000,1125.000,2.001,1.683
337175.507,4263190.918,5.820,501.580,1751.577,4375.000,2500.000,1250.000,3.409,1.707
337050.507,4264315.918,5.820,498.400,1748.397,4250.000,3625.000,1250.000,3.409,1.707
333925.507,4262815.918,3.464,501.650,1626.647,1125.000,2125.000,1125.000,2.058,1.683
334925.507,4265440.918,3.403,501.660,1626.661,2125.000,4750.000,1125.000,2.022,1.683
334050.507,4263315.918,3.450,501.670,1626.669,1250.000,2625.000,1125.000,2.050,1.683
334300.507,4264315.918,3.449,498.240,1623.240,1500.000,3625.000,1125.000,2.049,1.683
